"examiner_id","gender","race","tenure_days","ISSUED_applications","abandoned_applications","au_moves","tc_moves","PEN_applications","separation_indicator","num_classes","num_subclasses","avg_ISS_processing","avg_ABN_processing"
63682,"male","Hispanic",1231,16,2,0,0,0,1,8,16,881.4375,703
63708,"male","Asian",1468,0,9,0,0,0,1,5,9,NA,963.555555555556
63721,"male","white",3927,31,48,27,0,0,1,16,60,1525.87096774194,1203.75
63731,"male","white",4244,69,67,0,0,0,1,27,117,1548.04347826087,1449.70149253731
63755,"female","white",5415,57,61,30,0,0,1,27,91,1207.50877192982,978.409836065574
63797,"male","white",1254,1,6,0,0,0,1,5,7,986,999
63818,"male","white",3181,9,25,0,0,0,1,8,28,1410.44444444444,1084.2
63820,"female","white",1874,2,17,0,0,0,1,10,18,1796.5,1327.76470588235
63848,"male","white",1038,1,0,0,0,0,1,1,1,1058,NA
63855,"male","white",6275,31,12,15,0,0.0454545454545455,1,29,42,931.161290322581,623.916666666667
63859,"male","white",6149,2,35,12,5,0,1,24,34,2362,1343.74285714286
63868,"male","white",1610,0,3,0,0,0,1,1,3,NA,1477
63907,"male","white",5231,18,2,5,0,0,1,11,20,732.444444444444,934
63911,"male","white",5484,29,79,54,45,0,1,28,87,2355.20689655172,1764.75949367089
63929,"male","white",4470,9,5,0,0,0,1,5,12,1395.22222222222,1179
63955,"male","white",1812,5,6,0,0,0,1,5,10,1627.4,1143.16666666667
63962,"male","white",5888,103,103,47,47,0,1,27,148,1941.72815533981,1531.81553398058
63963,"unknown","white",614,0,12,12,2,0.5,1,8,13,NA,310.833333333333
63976,"male","Asian",1202,1,0,0,0,0,1,1,1,1222,NA
63983,"male","white",3100,2,6,1,0,0,1,2,7,1462,1218.33333333333
63991,"male","white",1581,12,9,0,0,0,1,13,21,880.5,775.888888888889
64001,"female","white",5755,41,26,0,0,0,1,21,37,670.829268292683,564.730769230769
64005,"male","Asian",1250,0,3,0,0,0,1,2,3,NA,955
64013,"male","white",5321,16,0,0,0,0,1,9,15,727.375,NA
64042,"male","white",5194,85,80,0,0,0,1,40,151,1694.50588235294,1382.025
64049,"male","Asian",2127,46,18,0,0,0,1,9,51,1184.41304347826,1039.83333333333
64054,"male","white",5504,84,4,0,0,0.1,1,14,82,501.511904761905,463
64057,"male","white",3118,6,1,0,0,0,1,3,5,1439.5,1330
64058,"male","Asian",1560,1,8,0,0,0,1,8,9,118,911.875
64064,"female","white",5547,61,94,0,0,0,1,57,116,1448.75409836066,1137.85106382979
64084,"male","Asian",5723,31,23,0,0,0,1,27,50,1474.35483870968,1194.65217391304
64106,"male","Asian",633,2,0,0,0,0,1,2,2,430.5,NA
64132,"male","white",1927,1,14,0,0,0,1,8,14,1756,1355.85714285714
64148,"female","Asian",6227,18,5,0,0,0,1,8,18,1558.05555555556,1262.2
64150,"male","Hispanic",5796,14,0,0,0,0,1,3,9,1270.78571428571,NA
64158,"male","white",5320,1,0,0,0,0,1,1,1,914,NA
64187,"unknown","white",6209,118,6,56,0,0,1,40,93,1200.64406779661,942.5
64192,"male","Asian",5026,2,0,0,0,0,1,2,2,548,NA
64243,"male","black",6005,28,29,19,9,0,1,34,51,632.321428571429,1315.44827586207
64245,"female","white",1416,1,1,0,0,0,1,1,2,1369,1131
64296,"male","white",1784,2,4,0,0,0,1,5,5,1527,1382.25
64331,"unknown","Asian",582,1,0,0,0,0,1,1,1,600,NA
64335,"male","white",4382,17,77,0,0,0,1,29,66,1764.58823529412,1414
64356,"male","white",6156,115,30,11,0,0,1,25,101,1666.19130434783,1381.93333333333
64373,"female","white",5650,6,0,0,0,0,1,1,6,1347.33333333333,NA
64390,"male","white",1664,7,49,0,0,0,1,11,39,937,865.69387755102
64400,"unknown","Asian",603,1,0,0,0,0,1,1,1,623,NA
64419,"male","black",6114,5,99,0,0,0,1,30,91,1943.6,1211.76767676768
64472,"male","white",1804,2,24,8,0,0,1,10,21,1241.5,982.916666666667
64528,"male","white",3270,11,7,9,0,0,1,5,16,1415.09090909091,1142.42857142857
64535,"unknown","white",5569,26,23,0,0,0,1,22,45,1899.15384615385,1458.4347826087
64568,"female","Asian",3751,49,14,0,0,0,1,16,59,678.714285714286,948.571428571429
64623,"female","Asian",5582,108,73,49,49,0,1,34,124,1934.62962962963,1579.53424657534
64659,"female","Asian",2815,2,1,0,0,0,1,3,3,1756,456
64675,"female","white",5583,71,96,39,0,0.03125,1,37,154,2332.30985915493,1801.15625
64677,"male","white",6106,46,20,2,2,0,1,28,60,1865.5652173913,1653.2
64699,"unknown","black",1335,1,0,0,0,0,1,1,1,1355,NA
64721,"unknown","Asian",6104,25,17,14,0,0,1,14,40,1534.56,1174.88235294118
64733,"male","white",6280,163,10,37,0,0,1,19,106,1180.61963190184,939.7
64740,"male","white",5030,46,58,11,0,0,1,27,102,1774.15217391304,1695.93103448276
64748,"male","Asian",1679,4,3,1,0,0,1,5,5,1045.25,1236.33333333333
64755,"male","white",5547,176,10,0,0,0,1,26,138,449.744318181818,392.1
64757,"female","Asian",826,1,0,0,0,0,1,1,1,846,NA
64781,"male","Asian",3213,3,16,0,0,0,1,5,17,1449,786.75
64800,"female","Hispanic",6062,75,71,1,0,0,1,45,105,1889.33333333333,1185.14084507042
64805,"male","white",5573,21,26,2,0,0,1,9,42,1812.47619047619,1469.15384615385
64834,"female","white",6289,101,70,30,3,0.0285714285714286,1,43,156,1725.81188118812,1292.2
64839,"male","white",6254,327,157,0,0,0,1,50,290,978.272171253823,911.229299363057
64850,"male","white",5187,21,1,0,0,0,1,8,21,602.904761904762,273
64869,"female","white",5600,42,16,0,0,0,1,27,58,1824.52380952381,1356.0625
64900,"unknown","Asian",6099,81,46,0,0,0,1,29,72,974.012345679012,675.391304347826
64925,"female","white",1899,4,18,0,0,0,1,6,18,1366.75,1183.72222222222
64943,"male","Hispanic",2101,13,17,7,0,0,1,9,30,1474.38461538462,1168.41176470588
64960,"male","black",4953,57,8,0,0,0,1,13,60,1139.64912280702,1075
64991,"male","white",3641,171,52,91,0,0,1,36,171,1213.22807017544,1265.55769230769
65011,"unknown","white",6128,184,102,59,57,0,1,52,225,1725.8097826087,1714.82352941176
65015,"female","Asian",4326,7,4,0,0,0,1,7,10,695.857142857143,607
65053,"male","white",2949,7,6,0,0,0,1,8,12,1238.14285714286,929
65063,"male","white",1524,0,1,0,0,0,1,1,1,NA,1335
65064,"male","white",5092,72,130,34,0,0,1,50,186,1342.29166666667,1136.76923076923
65068,"unknown","Asian",4341,73,83,16,0,0,1,36,129,1698.61643835616,1421.0843373494
65084,"male","white",5670,37,43,13,0,0,1,21,65,1598.56756756757,1531.79069767442
65101,"male","Asian",1150,0,1,0,0,0,1,1,1,NA,1087
65116,"male","white",3484,30,32,14,0,0,1,19,59,1336.3,1381.75
65119,"female","Asian",3750,62,47,6,0,0,1,31,97,1911.16129032258,1646.87234042553
65131,"male","white",6262,237,163,0,0,0.0645161290322581,1,98,276,1126.0253164557,918.588957055215
65179,"male","white",5560,173,163,128,0,0.0731707317073171,1,56,203,1265.67630057803,1020.06134969325
65189,"male","white",4389,4,4,0,0,0,1,4,8,1178.75,1093
65231,"male","white",5610,3,73,0,0,0,1,40,73,1907,1700.69863013699
65236,"unknown","Asian",1245,2,2,0,0,0,1,3,4,720,825.5
65286,"female","black",5044,9,1,0,0,0,1,5,8,603,247
65298,"male","white",958,1,0,0,0,0,1,1,1,978,NA
65324,"male","white",5250,12,1,0,0,0,1,7,12,583.166666666667,319
65353,"male","Asian",3243,4,4,0,0,0,1,4,8,1716,1347.75
65387,"male","Asian",5009,160,66,88,32,0,1,81,196,1717.00625,1452.45454545455
65394,"male","white",5301,10,1,0,0,0,1,6,11,569.8,663
65408,"unknown","Asian",2014,7,1,0,0,0,1,7,8,787.571428571429,196
65424,"male","white",517,0,1,0,0,0,1,1,1,NA,517
65439,"unknown","Asian",1083,3,0,0,0,0,1,3,3,946.666666666667,NA
65454,"female","Asian",4194,1,4,0,0,0,1,4,5,1120,911.25
65458,"male","white",1161,5,2,0,0,0,1,4,5,991.4,794.5
65460,"male","white",2765,24,20,0,0,0,1,21,41,927.708333333333,989.2
65475,"male","black",1245,0,5,4,0,0,1,2,5,NA,922.6
65478,"male","Hispanic",1013,0,2,0,0,0,1,2,2,NA,899.5
65491,"female","white",5204,25,0,1,0,0,1,10,23,536.16,NA
65497,"unknown","white",1384,0,1,0,0,0,1,1,1,NA,1275
65514,"unknown","Asian",2035,2,25,0,0,0,1,8,21,1698.5,1279.48
65539,"male","Hispanic",2207,0,6,0,0,0,1,3,6,NA,1341.5
65555,"male","Asian",5441,17,30,0,0,0,1,19,41,1818.11764705882,1359.93333333333
65566,"male","Asian",5873,98,94,59,41,0.102564102564103,1,48,158,2003.13265306122,1498.97872340426
65569,"female","white",4648,43,72,4,4,0,1,32,93,1855.86046511628,1571.45833333333
65590,"female","white",1304,1,3,2,0,0,1,3,4,977,1058
65599,"female","white",3724,16,52,0,0,0,1,24,60,1849.25,1359.09615384615
65608,"male","white",918,1,3,0,0,0,1,3,4,379,672.666666666667
65632,"unknown","black",2269,2,6,0,0,0,1,6,8,1451,840.833333333333
65705,"unknown","white",1891,52,22,0,0,0,1,26,66,881.634615384615,871.909090909091
65737,"female","white",6129,363,56,4,0,0,1,120,336,595.749311294766,439.035714285714
65739,"male","white",5933,44,8,0,0,0,1,22,51,914.022727272727,648.75
65770,"unknown","white",1407,3,5,2,0,0,1,5,8,1147,847.4
65771,"male","Asian",5750,36,14,0,0,0,1,9,41,876.75,613.928571428571
65812,"female","Asian",1012,0,1,0,0,0,1,1,1,NA,869
65867,"male","white",6170,110,119,56,56,0,1,53,184,2165.41818181818,1675.15966386555
65883,"unknown","Asian",1308,3,1,0,0,0,1,4,4,1067.66666666667,1176
65919,"male","white",5230,6,22,7,0,0,1,19,28,1292.5,1422.36363636364
65934,"female","white",6282,240,99,12,0,0,1,63,252,829.945833333333,945.727272727273
65960,"unknown","white",1287,1,0,0,0,0,1,1,1,1306,NA
65970,"female","black",4966,2,2,1,0,0,1,4,4,789.5,778.5
65995,"male","white",850,1,2,0,0,0,1,2,2,501,616.5
66035,"male","white",6295,177,62,0,0,0,1,41,140,885.220338983051,737.403225806452
66056,"male","Asian",3726,0,3,0,0,0,1,2,3,NA,1714.66666666667
66060,"male","Asian",1040,0,1,0,0,0,1,1,1,NA,915
66096,"male","Asian",3092,1,19,0,0,0,1,13,18,1383,1140.42105263158
66119,"female","Hispanic",6290,262,28,0,0,0,1,42,202,888.209923664122,806.785714285714
66126,"male","white",3535,2,0,0,0,0,1,2,2,1823.5,NA
66130,"male","white",4693,12,6,0,0,0,1,7,15,1059.16666666667,980.333333333333
66138,"male","white",1255,4,0,0,0,0,1,1,4,1199.25,NA
66190,"female","white",251,1,0,0,0,0,1,1,1,270,NA
66197,"unknown","black",4603,107,80,0,0,0,1,34,164,1519.08411214953,1370.4625
66203,"female","Asian",1352,2,1,2,0,0,1,2,3,1279,311
66209,"female","white",5467,25,44,0,0,0,1,30,40,1126.84,939.136363636364
66220,"male","white",1757,26,14,0,0,0,1,7,24,1046.84615384615,862.428571428571
66225,"male","Asian",5966,4,0,0,0,0,1,3,4,1061.5,NA
66264,"male","Asian",4061,27,71,34,0,0,1,36,88,1297,1275.38028169014
66266,"female","white",6119,11,9,5,0,0,1,15,17,1002.18181818182,609.333333333333
66291,"male","white",4055,30,37,0,0,0,1,14,30,2120.36666666667,1637.62162162162
66299,"female","Asian",6278,164,91,65,53,0,1,91,230,1837.83536585366,1495.96703296703
66310,"female","white",1116,0,3,0,0,0,1,1,3,NA,993.666666666667
66384,"male","white",5406,47,55,0,0,0,1,23,81,1705.14893617021,1380.43636363636
66386,"female","white",6015,47,12,0,0,0,1,23,53,726,627.083333333333
66404,"male","Hispanic",1027,0,3,0,0,0,1,2,3,NA,785
66454,"unknown","Asian",6234,59,186,31,0,0.0204081632653061,1,127,190,1585.77966101695,1172.29032258065
66456,"male","white",4929,5,50,0,0,0,1,22,22,1418.4,881.56
66463,"male","white",4032,46,39,3,3,0,1,22,75,1577.04347826087,1251.17948717949
66489,"female","Asian",3531,2,7,0,0,0,1,5,7,2478,861.428571428571
66505,"female","white",984,0,6,0,0,0,1,3,5,NA,724.833333333333
66508,"male","Asian",1608,2,3,0,0,0,1,3,5,1477.5,1232
66514,"male","white",2835,2,5,0,0,0,1,4,7,1058.5,904.4
66525,"male","white",969,1,0,0,0,0,1,1,1,988,NA
66528,"male","white",1265,2,0,0,0,0,1,2,2,1202.5,NA
66533,"male","white",526,1,0,0,0,0,1,1,1,546,NA
66536,"male","white",5849,90,66,78,0,0.0454545454545455,1,40,112,1404.86666666667,1177.54545454545
66574,"male","white",4074,1,1,0,0,0,1,2,2,852,804
66593,"male","white",5561,119,12,0,0,0,1,37,114,501.445378151261,371.5
66608,"female","black",1288,1,2,0,0,0,1,2,3,1211,1036
66633,"female","white",1132,0,2,0,0,0,1,1,2,NA,999
66641,"male","Asian",6013,4,3,0,0,0,1,6,7,964.25,645
66662,"male","white",5173,22,7,0,0,0,1,15,26,977.681818181818,830.571428571429
66689,"female","white",6154,53,48,2,0,0.0909090909090909,1,26,46,931.207547169811,790.520833333333
66696,"male","white",1437,3,1,0,0,0,1,2,4,1445,1049
66703,"female","Asian",1884,2,0,0,0,0,1,2,2,312,NA
66728,"male","Asian",4515,55,60,27,0,0,1,23,101,1796.45454545455,1325.26666666667
66737,"female","white",4090,7,2,0,0,0,1,4,9,950.285714285714,859.5
66747,"male","white",5460,423,139,77,0,0.102040816326531,1,60,290,1104.59574468085,1197.92086330935
66760,"male","white",6118,96,45,14,0,0,1,38,119,1698.58333333333,1381.97777777778
66762,"male","white",3967,3,18,4,0,0,1,14,20,2211,1319.55555555556
66797,"male","Hispanic",6223,126,84,0,0,0.027027027027027,1,39,197,1693.10317460317,1431.5119047619
66803,"male","white",6050,33,60,0,0,0,1,16,75,1931.90909090909,1481.8
66805,"unknown","Asian",6174,206,76,70,46,0,1,109,251,1677.8786407767,1645.13157894737
66810,"male","white",5812,114,29,0,0,0,1,18,131,578.535087719298,450.206896551724
66811,"male","white",840,2,1,0,0,0,1,3,3,725.5,567
66858,"male","white",4777,17,26,11,0,0,1,13,41,1862.23529411765,1446.92307692308
66865,"unknown","black",2856,12,11,10,0,0,1,8,23,1413.75,942.727272727273
66872,"female","white",1078,1,0,0,0,0.5,1,2,2,624,NA
66878,"male","white",1506,0,3,0,0,0,1,1,3,NA,1327.66666666667
66893,"male","white",2032,24,48,0,0,0,1,19,59,1257.66666666667,1194.66666666667
66903,"male","Asian",4844,30,13,0,0,0,1,17,41,1167.3,801.307692307692
66912,"female","white",6119,114,9,0,0,0,1,31,69,910.289473684211,738.111111111111
66918,"male","white",475,0,1,0,0,0,1,1,1,NA,213
67002,"female","white",5083,3,47,0,0,0,1,18,42,1555,1136.70212765957
67023,"male","white",3493,26,50,0,0,0,1,38,69,1057.15384615385,966.04
67026,"unknown","Asian",6241,251,182,26,0,0,1,113,258,1328.59362549801,1157.57692307692
67035,"male","white",3087,0,2,0,0,0,1,2,2,NA,1709
67039,"female","white",5888,30,24,11,10,0,1,16,45,2087.7,1604.25
67040,"male","Asian",5432,9,8,0,0,0,1,10,16,657.666666666667,407.125
67046,"male","white",4855,86,121,82,0,0,1,53,178,1502.59302325581,1365.5867768595
67049,"male","white",1393,0,2,0,0,0,1,2,2,NA,1065
67061,"male","Asian",995,4,2,0,0,0,1,3,5,807.25,702
67076,"unknown","white",5832,120,5,0,0,0,1,23,112,716.608333333333,550.4
67107,"male","white",5873,392,154,70,0,0,1,73,415,1048.49744897959,1010.1038961039
67124,"male","white",1441,2,1,1,0,0,1,2,3,1366.5,1211
67133,"male","white",5861,28,8,0,0,0,1,14,34,960.5,746.5
67134,"female","white",3733,1,0,0,0,0,1,1,1,783,NA
67139,"female","white",4097,44,63,0,0,0,1,29,93,874.477272727273,941.206349206349
67157,"unknown","white",764,1,0,0,0,0,1,1,1,784,NA
67170,"male","white",1576,0,12,0,0,0,1,8,8,NA,699.5
67208,"female","Asian",6097,230,43,0,0,0.133333333333333,1,42,253,761.473913043478,546.744186046512
67211,"female","white",3934,25,36,25,0,0,1,15,44,1705.8,1281.58333333333
67229,"male","Hispanic",6097,18,6,0,0,0,1,7,19,1662.66666666667,930.5
67256,"unknown","Asian",5959,116,40,7,0,0,1,62,137,533.034482758621,962.35
67267,"male","white",2738,19,42,0,0,0,1,15,60,1164.68421052632,1067.35714285714
67290,"unknown","Asian",3991,145,49,0,0,0,1,34,176,1494.19310344828,1551.48979591837
67308,"male","white",519,1,0,0,0,0,1,1,1,539,NA
67316,"male","white",6254,249,16,0,0,0,1,81,215,660.779116465863,609.75
67361,"unknown","white",4931,10,17,0,0,0,1,9,21,1202.7,994.235294117647
67389,"male","white",5946,20,32,17,7,0,1,36,52,726.2,1502.09375
67397,"male","white",6261,124,115,0,0,0.0333333333333333,1,95,200,1546.5,1225.12173913043
67401,"male","white",5219,6,39,0,0,0,1,22,44,1317.66666666667,946.435897435897
67465,"male","white",1006,1,0,0,0,0,1,1,1,1026,NA
67470,"female","Asian",3451,7,35,5,0,0,1,9,42,1761.14285714286,1393.85714285714
67476,"unknown","Asian",1938,9,19,0,0,0,1,13,27,940.888888888889,930.526315789474
67478,"female","white",5862,55,171,94,0,0,1,38,142,1556.4,1172.47953216374
67481,"male","white",5425,12,19,0,0,0,1,20,27,1444.83333333333,929.263157894737
